timestamp,recipe_id,target_basis_weight,actual_basis_weight,stock_flow,filler_flow,steam_pressure,machine_speed,moisture,ash,caliper,deviation_percent,risk_level
2026-01-01 08:00:00,103,80,80.66,102.79,16.23,121.53,960.66,4.92,13.51,0.14,0.83,SAFE
2026-01-01 08:00:05,103,80,79.58,97.77,11.64,120.78,970.99,6.04,9.41,0.15,0.52,SAFE
2026-01-01 08:00:10,103,80,79.98,96.9,17.47,120.83,964.57,6.06,12.33,0.12,0.02,SAFE
2026-01-01 08:00:15,103,80,80.39,102.49,15.6,122.35,961.38,5.96,9.55,0.12,0.48,SAFE
2026-01-01 08:00:20,103,80,79.74,98.74,13.91,122.39,965.1,5.91,11.97,0.11,0.32,SAFE
2026-01-01 08:00:25,103,80,79.06,96.39,15.97,121.23,993.66,5.99,8.82,0.08,1.18,WARNING
2026-01-01 08:00:30,103,80,81.04,103.83,13.89,122.96,984.42,6.15,11.02,0.14,1.3,WARNING
2026-01-01 08:00:35,103,80,79.02,95.19,14.1,118.18,991.06,5.0,13.26,0.09,1.23,WARNING
2026-01-01 08:00:40,103,80,80.71,104.25,10.27,120.68,955.06,5.47,10.43,0.08,0.89,SAFE
2026-01-01 08:00:45,103,80,79.26,96.84,10.1,119.28,978.45,5.49,14.42,0.14,0.92,SAFE
2026-01-01 08:00:50,103,80,80.18,100.72,12.95,121.55,962.65,5.09,8.07,0.1,0.22,SAFE
2026-01-01 08:00:55,103,80,79.01,96.18,14.08,118.78,987.71,5.25,11.65,0.12,1.23,WARNING
2026-01-01 08:01:00,103,80,78.85,99.83,10.47,122.85,998.51,5.17,12.25,0.12,1.43,WARNING
2026-01-01 08:01:05,103,80,80.75,102.57,13.04,118.07,958.96,5.17,9.53,0.13,0.93,SAFE
2026-01-01 08:01:10,103,80,81.08,104.44,16.59,120.49,951.45,5.9,8.31,0.1,1.34,WARNING
2026-01-01 08:01:15,103,80,79.33,96.17,12.21,120.25,988.83,4.96,12.31,0.13,0.84,SAFE
2026-01-01 08:01:20,103,80,80.14,101.67,16.59,121.14,979.03,5.14,9.14,0.11,0.18,SAFE
2026-01-01 08:01:25,103,80,80.22,98.7,17.12,118.67,950.95,6.07,13.29,0.15,0.27,SAFE
2026-01-01 08:01:30,103,80,80.73,102.71,12.31,119.81,965.38,6.0,11.99,0.11,0.91,SAFE
2026-01-01 08:01:35,103,80,81.4,104.71,16.28,122.59,964.88,5.74,10.77,0.14,1.75,WARNING
2026-01-01 08:01:40,103,80,79.88,98.04,16.39,119.02,971.46,5.42,10.33,0.13,0.15,SAFE
2026-01-01 08:01:45,103,80,78.76,100.77,17.68,119.42,953.68,5.17,13.52,0.15,1.55,WARNING
2026-01-01 08:01:50,103,80,78.88,96.54,13.53,120.58,991.87,5.79,10.55,0.11,1.4,WARNING
2026-01-01 08:01:55,103,80,78.91,99.92,11.0,118.18,999.37,5.44,14.15,0.1,1.36,WARNING
2026-01-01 08:02:00,103,80,81.66,102.42,10.92,122.09,994.48,4.85,8.1,0.15,2.08,WARNING
2026-01-01 08:02:05,103,80,76.27,98.37,16.3,120.05,972.38,5.66,13.93,0.14,4.67,CRITICAL
2026-01-01 08:02:10,103,80,79.56,96.84,11.71,120.41,973.65,4.89,10.15,0.13,0.56,SAFE
2026-01-01 08:02:15,103,80,79.11,96.34,14.63,121.72,973.25,5.91,13.38,0.09,1.11,WARNING
2026-01-01 08:02:20,103,80,80.11,98.94,15.98,119.83,963.58,5.0,8.75,0.11,0.13,SAFE
2026-01-01 08:02:25,103,80,80.52,100.15,14.92,121.96,960.26,5.25,9.47,0.08,0.64,SAFE
2026-01-01 08:02:30,103,80,83.15,103.95,17.84,122.32,987.37,6.02,14.58,0.12,3.94,CRITICAL
2026-01-01 08:02:35,103,80,79.89,101.33,14.01,122.61,996.72,4.9,8.05,0.1,0.13,SAFE
2026-01-01 08:02:40,103,80,80.96,103.99,13.4,121.78,957.13,6.02,11.0,0.1,1.21,WARNING
2026-01-01 08:02:45,103,80,80.58,101.95,15.96,121.12,976.49,6.06,8.38,0.11,0.73,SAFE
2026-01-01 08:02:50,103,80,80.0,100.84,13.87,122.93,984.06,5.38,13.34,0.15,0.0,SAFE
2026-01-01 08:02:55,103,80,81.75,97.95,15.34,121.43,997.17,5.1,10.36,0.12,2.19,WARNING
2026-01-01 08:03:00,103,80,80.22,101.55,10.55,120.01,997.12,5.22,10.81,0.14,0.27,SAFE
2026-01-01 08:03:05,103,80,79.81,97.13,17.9,119.8,952.96,5.92,13.09,0.15,0.23,SAFE
2026-01-01 08:03:10,103,80,81.04,97.12,16.23,121.93,953.07,5.96,11.09,0.09,1.3,WARNING
2026-01-01 08:03:15,103,80,78.52,95.13,11.8,119.79,987.28,5.23,9.68,0.15,1.85,WARNING
2026-01-01 08:03:20,103,80,78.99,96.92,10.11,120.81,995.12,5.85,11.19,0.15,1.26,WARNING
2026-01-01 08:03:25,103,80,79.41,95.67,12.35,119.03,966.33,5.62,12.15,0.1,0.74,SAFE
2026-01-01 08:03:30,103,80,80.15,98.82,14.9,118.85,963.33,5.05,10.67,0.11,0.19,SAFE
2026-01-01 08:03:35,103,80,80.81,102.03,14.1,120.49,995.4,5.19,10.12,0.11,1.02,WARNING
2026-01-01 08:03:40,103,80,80.5,104.74,11.05,120.39,988.86,4.95,13.79,0.12,0.63,SAFE
2026-01-01 08:03:45,103,80,79.32,97.0,10.91,118.45,995.6,5.03,13.64,0.08,0.85,SAFE
2026-01-01 08:03:50,103,80,79.54,96.18,11.18,122.46,951.72,6.13,9.01,0.12,0.58,SAFE
2026-01-01 08:03:55,103,80,80.43,104.12,16.83,120.28,992.23,5.63,13.1,0.15,0.54,SAFE
2026-01-01 08:04:00,103,80,79.45,97.29,17.12,120.85,986.58,5.5,9.62,0.14,0.69,SAFE
2026-01-01 08:04:05,103,80,79.89,100.04,17.12,121.45,953.75,6.02,11.46,0.09,0.13,SAFE
2026-01-01 08:04:10,103,80,80.39,100.94,12.09,121.12,980.81,6.15,13.14,0.14,0.49,SAFE
2026-01-01 08:04:15,103,80,79.87,99.62,12.93,118.39,997.28,5.4,13.37,0.12,0.17,SAFE
2026-01-01 08:04:20,103,80,79.06,95.06,15.37,118.43,985.19,6.01,14.73,0.13,1.17,WARNING
2026-01-01 08:04:25,103,80,82.12,104.5,11.41,119.35,950.53,5.65,13.75,0.12,2.65,CRITICAL
2026-01-01 08:04:30,103,80,80.06,97.58,17.55,118.46,964.37,5.18,12.64,0.14,0.08,SAFE
2026-01-01 08:04:35,103,80,79.96,104.43,15.97,120.2,966.26,5.93,8.47,0.1,0.04,SAFE
2026-01-01 08:04:40,103,80,79.06,98.09,10.51,120.91,984.8,6.12,10.07,0.09,1.18,WARNING
2026-01-01 08:04:45,103,80,79.98,102.13,11.49,118.13,999.23,5.99,9.85,0.13,0.02,SAFE
2026-01-01 08:04:50,103,80,80.1,98.79,17.26,121.6,953.64,5.81,8.15,0.08,0.12,SAFE
2026-01-01 08:04:55,103,80,80.85,100.99,17.81,122.5,954.45,4.87,12.28,0.13,1.06,WARNING
2026-01-01 08:05:00,103,80,80.1,96.93,12.35,121.79,959.97,5.72,9.29,0.13,0.13,SAFE
2026-01-01 08:05:05,103,80,79.16,96.09,15.69,120.97,986.49,4.86,8.06,0.12,1.04,WARNING
2026-01-01 08:05:10,103,80,79.78,98.93,12.92,118.32,982.78,4.98,14.65,0.1,0.27,SAFE
2026-01-01 08:05:15,103,80,79.87,103.29,15.11,119.39,975.28,4.91,12.6,0.09,0.16,SAFE
2026-01-01 08:05:20,103,80,78.62,96.55,15.07,121.43,970.48,6.07,13.59,0.15,1.72,WARNING
